cdscod;cds;cdscod_cds;adcod;ad;adcod_ad;dtappello;numero_iscritti
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810001;DIRITTO DEI CONSUMATORI;A5810001 - DIRITTO DEI CONSUMATORI;09/02/2017;1
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810001;DIRITTO DEI CONSUMATORI;A5810001 - DIRITTO DEI CONSUMATORI;31/05/2017;1
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810001;DIRITTO DEI CONSUMATORI;A5810001 - DIRITTO DEI CONSUMATORI;19/07/2017;1
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810001;DIRITTO DEI CONSUMATORI;A5810001 - DIRITTO DEI CONSUMATORI;06/09/2017;1
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810001;DIRITTO DEI CONSUMATORI;A5810001 - DIRITTO DEI CONSUMATORI;20/09/2017;2
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;31/01/2017;197
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;14/02/2017;152
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;05/05/2017;36
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;09/06/2017;13
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;12/06/2017;13
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;03/07/2017;20
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;21/07/2017;33
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;07/09/2017;2
