cdscod;cds;cdscod_cds;adcod;ad;adcod_ad;anno;numero_iscrizioni;media_iscrizioni_appello
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810001;DIRITTO DEI CONSUMATORI;A5810001 - DIRITTO DEI CONSUMATORI;2017;6;1.2
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;2017;493;41.083
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810006;FILOSOFIA DEL DIRITTO;A5810006 - FILOSOFIA DEL DIRITTO;2017;304;23.385
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810007;DIRITTO INTERNAZIONALE;A5810007 - DIRITTO INTERNAZIONALE;2017;342;38.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810010;DIRITTO AMMINISTRATIVO;A5810010 - DIRITTO AMMINISTRATIVO;2016;1;1.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810010;DIRITTO AMMINISTRATIVO;A5810010 - DIRITTO AMMINISTRATIVO;2017;288;28.8
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810011;GIUSTIZIA AMMINISTRATIVA;A5810011 - GIUSTIZIA AMMINISTRATIVA;2016;4;4.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810011;GIUSTIZIA AMMINISTRATIVA;A5810011 - GIUSTIZIA AMMINISTRATIVA;2017;192;19.2
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810012;DIRITTO TRIBUTARIO;A5810012 - DIRITTO TRIBUTARIO;2016;1;1.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810012;DIRITTO TRIBUTARIO;A5810012 - DIRITTO TRIBUTARIO;2017;246;27.333
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810014;DIRITTO COMMERCIALE;A5810014 - DIRITTO COMMERCIALE;2016;1;1.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810014;DIRITTO COMMERCIALE;A5810014 - DIRITTO COMMERCIALE;2017;331;36.778
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810015;DIRITTO PENALE;A5810015 - DIRITTO PENALE;2016;2;1.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810015;DIRITTO PENALE;A5810015 - DIRITTO PENALE;2017;372;41.333
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810017;DIRITTO PROCESSUALE CIVILE;A5810017 - DIRITTO PROCESSUALE CIVILE;2016;3;3.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810017;DIRITTO PROCESSUALE CIVILE;A5810017 - DIRITTO PROCESSUALE CIVILE;2017;349;38.778
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810018;PROCEDURA PENALE;A5810018 - PROCEDURA PENALE;2016;2;2.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810018;PROCEDURA PENALE;A5810018 - PROCEDURA PENALE;2017;249;24.9
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810019;ISTITUZIONI DI DIRITTO PRIVATO;A5810019 - ISTITUZIONI DI DIRITTO PRIVATO;2016;1;1.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810019;ISTITUZIONI DI DIRITTO PRIVATO;A5810019 - ISTITUZIONI DI DIRITTO PRIVATO;2017;516;43.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810029;DIRITTO CANONICO;A5810029 - DIRITTO CANONICO;2016;6;6.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810029;DIRITTO CANONICO;A5810029 - DIRITTO CANONICO;2017;168;18.667
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810030;DIRITTO ECCLESIASTICO;A5810030 - DIRITTO ECCLESIASTICO;2016;92;92.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810030;DIRITTO ECCLESIASTICO;A5810030 - DIRITTO ECCLESIASTICO;2017;47;5.222
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810031;INFORMATICA GIURIDICA;A5810031 - INFORMATICA GIURIDICA;2016;28;28.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810031;INFORMATICA GIURIDICA;A5810031 - INFORMATICA GIURIDICA;2017;44;4.889
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810032;SOCIOLOGIA DEL DIRITTO;A5810032 - SOCIOLOGIA DEL DIRITTO;2016;3;3.0
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810032;SOCIOLOGIA DEL DIRITTO;A5810032 - SOCIOLOGIA DEL DIRITTO;2017;186;20.667
