cdscod;cds;cdscod_cds;anno;numero_appelli;numero_iscrizioni;media_iscrizioni_appello
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;2016;59;665;11.271
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;2017;617;8558;13.87
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;2016;5;53;10.6
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;2017;192;3051;15.891
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;2016;5;16;3.2
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;2017;234;2895;12.372
E1401A;SCIENZE DEI SERVIZI GIURIDICI;E1401A - SCIENZE DEI SERVIZI GIURIDICI;2016;15;94;6.267
E1401A;SCIENZE DEI SERVIZI GIURIDICI;E1401A - SCIENZE DEI SERVIZI GIURIDICI;2017;260;3336;12.831
E1501N;SCIENZE DEL TURISMO E COMUNITÀ LOCALE;E1501N - SCIENZE DEL TURISMO E COMUNITÀ LOCALE;2016;10;545;54.5
E1501N;SCIENZE DEL TURISMO E COMUNITÀ LOCALE;E1501N - SCIENZE DEL TURISMO E COMUNITÀ LOCALE;2017;94;2834;30.149
E1601N;SCIENZE DELL'ORGANIZZAZIONE;E1601N - SCIENZE DELL'ORGANIZZAZIONE;2016;10;467;46.7
E1601N;SCIENZE DELL'ORGANIZZAZIONE;E1601N - SCIENZE DELL'ORGANIZZAZIONE;2017;123;3111;25.293
E1801M;MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI;E1801M - MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI;2016;3;13;4.333
E1801M;MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI;E1801M - MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI;2017;257;6329;24.626
E1802M;ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE;E1802M - ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE;2017;205;5311;25.907
E1803M;ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI;E1803M - ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI;2017;225;5222;23.209
E1901R;SCIENZE DELL'EDUCAZIONE;E1901R - SCIENZE DELL'EDUCAZIONE;2016;1;1;1.0
E1901R;SCIENZE DELL'EDUCAZIONE;E1901R - SCIENZE DELL'EDUCAZIONE;2017;287;10268;35.777
E2001R;COMUNICAZIONE INTERCULTURALE;E2001R - COMUNICAZIONE INTERCULTURALE;2016;1;1;1.0
E2001R;COMUNICAZIONE INTERCULTURALE;E2001R - COMUNICAZIONE INTERCULTURALE;2017;253;3781;14.945
E2004P;SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE;E2004P - SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE;2016;1;38;38.0
E2004P;SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE;E2004P - SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE;2017;164;2407;14.677
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;2016;2;10;5.0
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;2017;232;8961;38.625
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;2016;3;8;2.667
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;2017;142;999;7.035
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;2016;1;1;1.0
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;2017;147;1523;10.361
E3001Q;FISICA;E3001Q - FISICA;2017;170;3357;19.747
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;2016;5;6;1.2
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;2017;140;1008;7.2
E3101Q;INFORMATICA;E3101Q - INFORMATICA;2017;144;5868;40.75
E3201Q;SCIENZE E TECNOLOGIE PER L'AMBIENTE;E3201Q - SCIENZE E TECNOLOGIE PER L'AMBIENTE;2016;3;9;3.0
E3201Q;SCIENZE E TECNOLOGIE PER L'AMBIENTE;E3201Q - SCIENZE E TECNOLOGIE PER L'AMBIENTE;2017;158;1464;9.266
E3301M;ECONOMIA E COMMERCIO;E3301M - ECONOMIA E COMMERCIO;2016;1;1;1.0
E3301M;ECONOMIA E COMMERCIO;E3301M - ECONOMIA E COMMERCIO;2017;208;4516;21.712
E3401Q;SCIENZE E TECNOLOGIE GEOLOGICHE;E3401Q - SCIENZE E TECNOLOGIE GEOLOGICHE;2016;2;2;1.0
E3401Q;SCIENZE E TECNOLOGIE GEOLOGICHE;E3401Q - SCIENZE E TECNOLOGIE GEOLOGICHE;2017;158;1909;12.082
E3501Q;MATEMATICA;E3501Q - MATEMATICA;2017;136;1120;8.235
E3901N;SERVIZIO SOCIALE;E3901N - SERVIZIO SOCIALE;2016;10;322;32.2
E3901N;SERVIZIO SOCIALE;E3901N - SERVIZIO SOCIALE;2017;68;1523;22.397
E4001N;SOCIOLOGIA;E4001N - SOCIOLOGIA;2016;14;641;45.786
E4001N;SOCIOLOGIA;E4001N - SOCIOLOGIA;2017;133;3076;23.128
E4101B;SCIENZE STATISTICHE ED ECONOMICHE;E4101B - SCIENZE STATISTICHE ED ECONOMICHE;2016;6;225;37.5
E4101B;SCIENZE STATISTICHE ED ECONOMICHE;E4101B - SCIENZE STATISTICHE ED ECONOMICHE;2017;188;2669;14.197
E4102B;STATISTICA E GESTIONE DELLE INFORMAZIONI;E4102B - STATISTICA E GESTIONE DELLE INFORMAZIONI;2016;7;172;24.571
E4102B;STATISTICA E GESTIONE DELLE INFORMAZIONI;E4102B - STATISTICA E GESTIONE DELLE INFORMAZIONI;2017;122;1420;11.639
F0101R;SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE;F0101R - SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE;2017;91;537;5.901
F0601Q;BIOLOGIA;F0601Q - BIOLOGIA;2016;6;15;2.5
F0601Q;BIOLOGIA;F0601Q - BIOLOGIA;2017;140;649;4.636
F0802Q;BIOTECNOLOGIE INDUSTRIALI;F0802Q - BIOTECNOLOGIE INDUSTRIALI;2016;1;19;19.0
F0802Q;BIOTECNOLOGIE INDUSTRIALI;F0802Q - BIOTECNOLOGIE INDUSTRIALI;2017;133;704;5.293
F0901D;BIOTECNOLOGIE MEDICHE;F0901D - BIOTECNOLOGIE MEDICHE;2016;3;46;15.333
F0901D;BIOTECNOLOGIE MEDICHE;F0901D - BIOTECNOLOGIE MEDICHE;2017;60;403;6.717
F1601M;ECONOMIA E FINANZA;F1601M - ECONOMIA E FINANZA;2017;87;990;11.379
F1701Q;FISICA;F1701Q - FISICA;2017;160;343;2.144
F1801Q;INFORMATICA;F1801Q - INFORMATICA;2017;105;1012;9.638
F4001Q;MATEMATICA;F4001Q - MATEMATICA;2017;98;221;2.255
F4901N;TURISMO, TERRITORIO E SVILUPPO LOCALE;F4901N - TURISMO, TERRITORIO E SVILUPPO LOCALE;2016;6;55;9.167
F4901N;TURISMO, TERRITORIO E SVILUPPO LOCALE;F4901N - TURISMO, TERRITORIO E SVILUPPO LOCALE;2017;48;453;9.438
F5101P;PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA;F5101P - PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA;2016;1;74;74.0
F5101P;PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA;F5101P - PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA;2017;47;721;15.34
F5102P;PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI;F5102P - PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI;2017;89;1175;13.202
F5103P;PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI;F5103P - PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI;2016;1;5;5.0
F5103P;PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI;F5103P - PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI;2017;76;1053;13.855
F5104P;PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA;F5104P - PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA;2017;50;1755;35.1
F5301Q;SCIENZA DEI MATERIALI;F5301Q - SCIENZA DEI MATERIALI;2016;2;15;7.5
F5301Q;SCIENZA DEI MATERIALI;F5301Q - SCIENZA DEI MATERIALI;2017;77;199;2.584
F5401Q;SCIENZE E TECNOLOGIE CHIMICHE;F5401Q - SCIENZE E TECNOLOGIE CHIMICHE;2017;106;444;4.189
F5602M;INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE;F5602M - INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE;2017;58;377;6.5
F5701R;FORMAZIONE E SVILUPPO DELLE RISORSE UMANE;F5701R - FORMAZIONE E SVILUPPO DELLE RISORSE UMANE;2017;100;1625;16.25
F5801Q;ASTROFISICA E FISICA DELLO SPAZIO;F5801Q - ASTROFISICA E FISICA DELLO SPAZIO;2016;1;1;1.0
F5801Q;ASTROFISICA E FISICA DELLO SPAZIO;F5801Q - ASTROFISICA E FISICA DELLO SPAZIO;2017;39;86;2.205
F6302N;MANAGEMENT E DESIGN DEI SERVIZI;F6302N - MANAGEMENT E DESIGN DEI SERVIZI;2016;7;45;6.429
F6302N;MANAGEMENT E DESIGN DEI SERVIZI;F6302N - MANAGEMENT E DESIGN DEI SERVIZI;2017;69;914;13.246
F7401Q;SCIENZE E TECNOLOGIE GEOLOGICHE;F7401Q - SCIENZE E TECNOLOGIE GEOLOGICHE;2016;1;1;1.0
F7401Q;SCIENZE E TECNOLOGIE GEOLOGICHE;F7401Q - SCIENZE E TECNOLOGIE GEOLOGICHE;2017;111;356;3.207
F7501Q;SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO;F7501Q - SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO;2016;3;5;1.667
F7501Q;SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO;F7501Q - SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO;2017;164;731;4.457
F7502Q;MARINE SCIENCES - SCIENZE MARINE;F7502Q - MARINE SCIENCES - SCIENZE MARINE;2017;43;187;4.349
F7601M;ECONOMIA DEL TURISMO;F7601M - ECONOMIA DEL TURISMO;2017;90;743;8.256
F7701M;SCIENZE ECONOMICO-AZIENDALI;F7701M - SCIENZE ECONOMICO-AZIENDALI;2017;116;2208;19.034
F7702M;MARKETING E MERCATI GLOBALI;F7702M - MARKETING E MERCATI GLOBALI;2017;84;1797;21.393
F8203B;BIOSTATISTICA;F8203B - BIOSTATISTICA;2016;3;14;4.667
F8203B;BIOSTATISTICA;F8203B - BIOSTATISTICA;2017;77;391;5.078
F8204B;SCIENZE STATISTICHE ED ECONOMICHE;F8204B - SCIENZE STATISTICHE ED ECONOMICHE;2016;6;25;4.167
F8204B;SCIENZE STATISTICHE ED ECONOMICHE;F8204B - SCIENZE STATISTICHE ED ECONOMICHE;2017;131;848;6.473
F8501R;SCIENZE PEDAGOGICHE;F8501R - SCIENZE PEDAGOGICHE;2017;140;2017;14.407
F8701N;PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI;F8701N - PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI;2016;5;12;2.4
F8701N;PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI;F8701N - PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI;2017;41;470;11.463
F8801N;SOCIOLOGIA;F8801N - SOCIOLOGIA;2016;8;44;5.5
F8801N;SOCIOLOGIA;F8801N - SOCIOLOGIA;2017;60;211;3.517
F9201P;TEORIA E TECNOLOGIA DELLA COMUNICAZIONE;F9201P - TEORIA E TECNOLOGIA DELLA COMUNICAZIONE;2017;90;715;7.944
G8501R;SCIENZE DELLA FORMAZIONE PRIMARIA;G8501R - SCIENZE DELLA FORMAZIONE PRIMARIA;2017;185;9691;52.384
H4101D;MEDICINA E CHIRURGIA;H4101D - MEDICINA E CHIRURGIA;2016;1;89;89.0
H4101D;MEDICINA E CHIRURGIA;H4101D - MEDICINA E CHIRURGIA;2017;178;4848;27.236
H4601D;ODONTOIATRIA E PROTESI DENTARIA;H4601D - ODONTOIATRIA E PROTESI DENTARIA;2016;1;20;20.0
H4601D;ODONTOIATRIA E PROTESI DENTARIA;H4601D - ODONTOIATRIA E PROTESI DENTARIA;2017;89;630;7.079
I0101D;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE);I0101D - INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE);2016;4;169;42.25
I0101D;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE);I0101D - INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE);2017;81;6133;75.716
I0102D;OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O);I0102D - OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O);2017;96;714;7.438
I0201D;FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA);I0201D - FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA);2017;81;1283;15.84
I0202D;TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA);I0202D - TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA);2017;39;465;11.923
