cdscod;cds;cdscod_cds;adcod;ad;adcod_ad;media_tentativi;rank_media_tentativi;numero_appelli;rank_num_appelli;ts_mediano;rank_ts;voto_agg_mediano;rank_voto_agg;rank_pesato;rank_position
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810012;DIRITTO TRIBUTARIO;A5810012 - DIRITTO TRIBUTARIO;1.421;17;9;6;0.471;5;21.538;10;9.0;6
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810014;DIRITTO COMMERCIALE;A5810014 - DIRITTO COMMERCIALE;1.454;11;9;6;0.5;9;21.75;12;10.0;8
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810017;DIRITTO PROCESSUALE CIVILE;A5810017 - DIRITTO PROCESSUALE CIVILE;1.69;1;16;1;0.45;3;20.957;8;3.9;1
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810019;ISTITUZIONI DI DIRITTO PRIVATO;A5810019 - ISTITUZIONI DI DIRITTO PRIVATO;1.404;19;16;1;0.466;4;20.594;7;7.6;4
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810056;DIRITTO FALLIMENTARE;A5810056 - DIRITTO FALLIMENTARE;1.439;13;9;6;0.25;1;18.7;3;4.5;2
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810064;DIRITTO PROCESSUALE CIVILE C.P.;A5810064 - DIRITTO PROCESSUALE CIVILE C.P.;1.333;27;4;11;0.5;9;15.0;1;10.4;9
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810070;MEDICINA LEGALE;A5810070 - MEDICINA LEGALE;1.575;3;9;6;0.5;9;23.0;19;10.5;10
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810093;ORDINAMENTO GIUDIZIARIO;A5810093 - ORDINAMENTO GIUDIZIARIO;1.452;12;9;6;0.5;9;21.0;9;9.3;7
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810130;DIRITTO DELL'UNIONE EUROPEA;A5810130 - DIRITTO DELL'UNIONE EUROPEA;1.494;7;9;6;0.478;6;20.465;5;5.9;3
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810227;DIRITTO COSTITUZIONALE;A5810227 - DIRITTO COSTITUZIONALE;1.4;20;14;2;0.498;8;20.165;4;8.6;5
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q001;MATEMATICA;E0201Q001 - MATEMATICA;1.718;1;8;2;0.536;3;20.493;1;1.9;1
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q050;METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI;E0201Q050 - METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI;1.284;13;4;6;0.65;9;20.748;2;7.4;7
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q053;ORGANI E FUNZIONI;E0201Q053 - ORGANI E FUNZIONI;1.376;5;7;3;0.667;10;21.813;6;7.1;6
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q055;COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO;E0201Q055 - COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO;1.52;3;8;2;0.584;4;21.0;3;3.3;3
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q057;ANALISI DI FUNZIONI GENICHE;E0201Q057 - ANALISI DI FUNZIONI GENICHE;1.375;6;7;3;0.5;1;28.0;26;9.7;9
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q059;BIOCHIMICA PER LE BIOTECNOLOGIE;E0201Q059 - BIOCHIMICA PER LE BIOTECNOLOGIE;1.563;2;8;2;0.528;2;21.075;4;2.6;2
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q060;FERMENTAZIONI E BIOPROCESSI MICROBICI;E0201Q060 - FERMENTAZIONI E BIOPROCESSI MICROBICI;1.339;10;7;3;0.705;11;25.25;14;10.9;10
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q065;BIOCHIMICA SISTEMATICA UMANA;E0201Q065 - BIOCHIMICA SISTEMATICA UMANA;1.465;4;8;2;0.643;8;24.168;9;6.9;5
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q073;GENETICA MOLECOLARE UMANA;E0201Q073 - GENETICA MOLECOLARE UMANA;1.37;7;7;3;0.6;5;24.5;10;6.7;4
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;E0201Q075;BIOTECNOLOGIE CELLULARI;E0201Q075 - BIOTECNOLOGIE CELLULARI;1.313;12;6;4;0.622;6;24.848;11;8.5;8
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;E0201Q012;ECONOMIA AZIENDALE;E0201Q012 - ECONOMIA AZIENDALE;3.0;1;3;9;0.0;1;0.0;1;1.8;1
