cdscod;adcod;rank_pesato;rank_position
581;A5810017;3.9;1
581;A5810056;4.5;2
581;A5810130;6.2;3
581;A5810019;7.6;4
581;A5810227;8.6;5
581;A5810012;9.0;6
581;A5810093;9.3;7
581;A5810014;10.0;8
581;A5810064;10.4;9
581;A5810070;10.5;10
E0201Q;E0201Q001;1.9;1
E0201Q;E0201Q059;2.6;2
E0201Q;E0201Q055;3.3;3
E0201Q;E0201Q073;6.7;4
E0201Q;E0201Q065;6.9;5
E0201Q;E0201Q053;7.1;6
E0201Q;E0201Q050;7.4;7
E0201Q;E0201Q075;8.5;8
E0201Q;E0201Q057;9.7;9
E0201Q;E0201Q060;10.9;10
E1301Q;E0201Q012;1.8;1
E1301Q;E0201Q050;2.1;2
E1301Q;E1301Q072;2.6;3
E1301Q;E1301Q011;4.0;4
E1301Q;E0201Q055;4.7;5
E1301Q;E0201Q060;5.1;6
E1301Q;E3201Q084;5.4;7
E1301Q;E0201Q073;5.8;8
E1301Q;E0201Q064;5.8;8
E1301Q;E1301Q009;6.3;9
E1301Q;E1301Q007;7.3;10
E1401A;E1401A039;1.9;1
E1401A;E1401A078;4.2;2
E1401A;E1401A030;4.6;3
E1401A;E1401A081;5.3;4
E1401A;E1401A005;6.3;5
E1401A;E1401A015;6.7;6
E1401A;E1401A082;6.9;7
E1401A;E1401A077;7.6;8
E1401A;E1401A074;7.9;9
E1401A;E1401A040;9.3;10
E1501N;E4001N055;2.2;1
E1501N;E1801M050;2.5;2
E1501N;E1501N001;3.1;3
E1501N;E1801M053;3.1;4
E1501N;E1501N054;3.3;5
E1501N;E1501N065;5.3;6
E1501N;E1501N014;6.4;7
E1501N;E1501N076;6.7;8
E1501N;E1501N080;8.5;9
E1501N;E1501N051;8.7;10
E1601N;E1802M117;1.3;1
E1601N;E3301M181;1.3;1
E1601N;E1801M050;1.3;2
E1601N;E1803M075;1.8;3
E1601N;E1901R084;1.8;3
E1601N;E1601N020;3.2;4
E1601N;E2401P028;4.1;5
E1601N;E1601N049;5.5;6
E1601N;E1601N003;5.8;7
E1601N;E1601N002;6.6;8
E1601N;E1501N080;7.2;9
E1601N;E1801M052;7.5;10
E1801M;E3301M155;2.1;1
E1801M;E3301M190;2.6;2
E1801M;E1801M032;2.7;3
E1801M;E2401P120;5.1;4
E1801M;E1801M039;5.2;5
E1801M;E1802M117;5.5;6
E1801M;E1801M028;6.3;7
E1801M;E1801M048;7.1;8
E1801M;E3301M145;8.7;9
E1801M;E1801M004;8.9;10
E1802M;E3301M140;2.1;1
E1802M;E3301M150;2.7;2
E1802M;E1802M007;3.2;3
E1802M;E1802M119;6.4;4
E1802M;E1802M116;7.4;5
E1802M;E1802M005;7.9;6
E1802M;E1802M033;8.9;7
E1802M;E3301M148;9.6;8
E1802M;E3301M155;10.6;9
E1802M;E1802M125;10.9;10
E1803M;E1803M047;1.3;1
E1803M;E1803M037;2.9;2
E1803M;E1803M051;4.7;3
E1803M;E2004P025;4.7;4
E1803M;E4101B040;5.9;5
E1803M;E1803M041;6.2;6
E1803M;A5810050;6.5;7
E1803M;E1803M059;7.8;8
E1803M;E1803M046;9.0;9
E1803M;E1803M004;9.2;10
E1901R;E2401P029;2.5;1
E1901R;E2001R027;3.1;2
E1901R;E2401P022;3.6;3
E1901R;E1901R020;5.1;4
E1901R;E1901R037;7.3;5
E1901R;E1901R090;7.4;6
E1901R;E1901R005;8.7;7
E1901R;E1901R019;8.9;8
E1901R;E1901R093;9.5;9
E1901R;E1901R089;9.6;10
E2001R;E1901R019;1.4;1
E2001R;E1901R021;1.9;2
E2001R;E3301M183;2.0;3
E2001R;E2004P004;2.1;4
E2001R;E2401P103;2.1;4
E2001R;E2004P013;2.6;5
E2001R;E1801M051;3.7;6
E2001R;E1501N079;4.3;7
E2001R;E1501N081;4.6;8
E2001R;E1901R084;5.4;9
E2001R;E2001R059;5.7;10
E2004P;E2401P119;2.4;1
E2004P;E2401P019;3.5;2
E2004P;E2401P016;4.6;3
E2004P;E2004P013;4.8;4
E2004P;E2401P117;4.9;5
E2004P;E1901R084;5.2;6
E2004P;E2401P026;5.2;6
E2004P;E2004P008;5.4;7
E2004P;E2004P044;6.1;8
E2004P;E2004P004;6.6;9
E2004P;E2401P035;7.6;10
E2401P;E2004P025;1.5;1
E2401P;E2004P028;1.6;2
E2401P;E1301Q067;2.0;3
E2401P;A5810070;2.3;4
E2401P;E2401P001;4.2;5
E2401P;E3101Q103;4.2;5
E2401P;E1901R085;4.5;6
E2401P;E2401P007;4.8;7
E2401P;E2401P109;4.9;8
E2401P;E2401P013;7.9;9
E2401P;E2401P002;8.7;10
E2701Q;E2701Q037;3.7;1
E2701Q;E2701Q036;3.8;2
E2701Q;E2701Q001;3.9;3
E2701Q;E2701Q034;4.1;4
E2701Q;E0201Q055;5.3;5
E2701Q;E2701Q045;5.6;6
E2701Q;E2701Q046;6.2;7
E2701Q;E2701Q035;8.2;8
E2701Q;E3001Q052;8.6;9
E2701Q;E2702Q099;9.4;10
E2702Q;E2702Q106;1.5;1
E2702Q;E2702Q082;2.3;2
E2702Q;E2702Q089;3.3;3
E2702Q;E3401Q017;4.1;4
E2702Q;E2702Q009;5.0;5
E2702Q;E2702Q092;5.7;6
E2702Q;E2702Q001;5.7;6
E2702Q;E2702Q085;7.2;7
E2702Q;E2702Q045;9.2;8
E2702Q;E2702Q101;12.0;9
E2702Q;E2702Q003;12.1;10
E2702Q;E2702Q056;12.1;10
E2702Q;E2702Q099;12.1;10
E3001Q;E3002Q029;1.6;1
E3001Q;E4101B017;1.9;2
E3001Q;E3401Q051;2.1;3
E3001Q;E3001Q055;3.8;4
E3001Q;E3001Q046;5.1;5
E3001Q;E2702Q099;5.1;5
E3001Q;E3001Q054;5.2;6
E3001Q;E3501Q003;5.7;7
E3001Q;E3001Q038;6.4;8
E3001Q;E3501Q062;7.0;9
E3001Q;E3001Q040;7.7;10
E3002Q;E1802M116;1.6;1
E3002Q;E2004P004;1.6;1
E3002Q;E3002Q006;2.8;2
E3002Q;E3002Q032;3.1;3
E3002Q;E3002Q033;3.5;4
E3002Q;E1901R085;4.6;5
E3002Q;E3002Q030;4.8;6
E3002Q;E3002Q028;7.4;7
E3002Q;E1301Q069;7.6;8
E3002Q;E3002Q011;8.2;9
E3002Q;E3002Q034;8.4;10
E3101Q;E3501Q004;1.5;1
E3101Q;E3101Q114;2.8;2
E3101Q;E3101Q101;2.9;3
E3101Q;E3101Q104;5.3;4
E3101Q;E3101Q124;5.3;4
E3101Q;E3101Q103;5.3;4
E3101Q;E3501Q003;5.4;5
E3101Q;E3101Q129;6.3;6
E3101Q;E3001Q040;6.3;7
E3101Q;E3101Q127;7.8;8
E3101Q;E3101Q108;8.3;9
E3101Q;E3101Q100;9.4;10
E3201Q;E0201Q068;2.4;1
E3201Q;E3201Q001;2.6;2
E3201Q;E3401Q053;4.1;3
E3201Q;E3201Q067;4.7;4
E3201Q;E0201Q055;5.0;5
E3201Q;E3201Q069;5.8;6
E3201Q;E3201Q106;6.2;7
E3201Q;E3201Q092;6.7;8
E3201Q;E3201Q073;6.9;9
E3201Q;E3201Q040;8.0;10
E3301M;E4101B018;1.9;1
E3301M;E4102B066;1.9;1
E3301M;E3301M140;2.0;2
E3301M;E3301M131;3.3;3
E3301M;E3301M192;3.9;4
E3301M;E1501N065;4.9;5
E3301M;E3301M128;5.0;6
E3301M;E1801M050;5.2;7
E3301M;E3301M150;5.8;8
E3301M;E3301M097;5.9;9
E3301M;E3301M182;8.7;10
E3401Q;E1301Q059;1.2;1
E3401Q;E2701Q041;1.6;2
