cdscod;commitment_rate;percentile_rank;ratio_date_overlap;numero_medio_sovrapposizioni;numero_date;numero_appelli;numero_ad
581;5.197;1.0;0.856;8.61;90;676;92
E1401A;2.165;0.985;0.63;4.804;81;275;44
E1901R;2.1;0.97;0.758;3.855;91;288;52
E2001R;1.929;0.955;0.727;3.594;88;254;84
E1801M;1.746;0.94;0.674;3.578;95;260;51
E1803M;1.743;0.925;0.726;3.311;84;225;45
E1802M;1.711;0.91;0.688;3.415;77;205;45
E3301M;1.696;0.896;0.671;3.453;79;209;52
E4101B;1.642;0.881;0.653;3.429;75;194;48
G8501R;1.494;0.866;0.662;3.118;77;185;30
E2401P;1.476;0.851;0.622;3.23;98;234;54
F8204B;1.437;0.836;0.667;2.925;60;137;33
E1601N;1.319;0.821;0.581;2.972;62;133;49
H4101D;1.26;0.806;0.56;3.021;84;179;46
E4102B;1.255;0.791;0.55;3.091;60;129;28
F8501R;1.244;0.776;0.632;2.674;68;140;28
E4001N;1.237;0.761;0.394;4.115;66;147;50
E3201Q;1.061;0.746;0.494;2.902;83;161;31
E2004P;1.037;0.731;0.506;2.689;89;165;47
F7701M;1.035;0.716;0.492;2.833;61;116;23
E3001Q;1.029;0.701;0.484;2.795;91;170;47
E2702Q;1.009;0.687;0.481;2.816;79;148;30
E3101Q;1.007;0.672;0.468;2.861;77;144;34
F7401Q;0.947;0.657;0.469;2.6;64;112;35
F9201P;0.911;0.642;0.442;2.652;52;90;27
F7601M;0.889;0.612;0.472;2.48;53;90;21
F8203B;0.889;0.612;0.531;2.192;49;80;20
E1301Q;0.88;0.597;0.412;2.839;136;239;49
F0101R;0.873;0.582;0.444;2.542;54;91;25
E3501Q;0.87;0.567;0.432;2.571;81;136;42
E1501N;0.857;0.552;0.419;2.615;62;104;31
E3401Q;0.811;0.537;0.423;2.537;97;160;32
F1701Q;0.791;0.522;0.396;2.475;101;160;56
E2701Q;0.788;0.507;0.386;2.676;88;145;31
F1801Q;0.786;0.493;0.344;2.864;64;105;34
F1601M;0.785;0.478;0.436;2.333;55;87;21
F7501Q;0.782;0.463;0.37;2.811;100;167;30
F0802Q;0.776;0.448;0.398;2.545;83;134;30
E0201Q;0.769;0.433;0.435;2.352;124;197;34
F5401Q;0.746;0.418;0.397;2.407;68;106;27
F7702M;0.737;0.403;0.314;3.063;51;84;18
E3002Q;0.736;0.388;0.415;2.308;94;145;32
F0601Q;0.701;0.373;0.375;2.389;96;146;36
F4901N;0.692;0.358;0.378;2.214;37;54;19
F5701R;0.662;0.343;0.377;2.192;69;100;28
F5602M;0.648;0.328;0.35;2.286;40;58;17
H4601D;0.633;0.313;0.359;2.13;64;90;29
I0303D;0.619;0.299;0.333;2.25;36;51;16
I0302D;0.609;0.284;0.333;2.25;48;68;19
F5102P;0.6;0.269;0.333;2.238;63;89;23
F4001Q;0.592;0.254;0.29;2.45;69;98;31
F6302N;0.573;0.239;0.259;2.571;54;76;27
I0301D;0.566;0.224;0.29;2.222;31;42;16
F8801N;0.563;0.209;0.314;2.063;51;68;25
F5103P;0.552;0.194;0.316;2.111;57;77;22
E3901N;0.547;0.179;0.298;2.235;57;78;21
I0201D;0.533;0.164;0.288;2.294;59;81;19
F5301Q;0.523;0.149;0.276;2.313;58;79;20
F5801Q;0.489;0.134;0.258;2.125;31;40;14
F5101P;0.487;0.104;0.263;2.0;38;48;19
F8701N;0.487;0.104;0.25;2.111;36;46;18
I0101D;0.443;0.09;0.269;2.0;67;85;19
I0102D;0.365;0.075;0.205;2.125;78;96;19
F5104P;0.358;0.06;0.167;2.143;42;50;18
F7502Q;0.349;0.045;0.194;2.0;36;43;11
F0901D;0.295;0.03;0.167;2.0;54;63;13
K0101D;0.286;0.015;0.12;2.0;25;28;11
I0202D;0.24;0.0;0.083;2.0;36;39;16
