cdscod;cds;cdscod_cds;adcod;ad;adcod_ad;voto_medio_norm;ratio_promossi_iscritti;rating;rank_best;rank_worst
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810121;MEDIAZIONE CIVILE E COMMERCIALE;A5810121 - MEDIAZIONE CIVILE E COMMERCIALE;0.983;0.909;0.9608;1;73
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810073;PROCEDURA PENALE EUROPEA;A5810073 - PROCEDURA PENALE EUROPEA;0.935;0.933;0.9344;2;72
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810033;TEORIE DELL'INTERPRETAZIONE;A5810033 - TEORIE DELL'INTERPRETAZIONE;0.962;0.813;0.9173;3;71
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810037;STORIA DEL DIRITTO ROMANO;A5810037 - STORIA DEL DIRITTO ROMANO;0.935;0.871;0.9158;4;70
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810138;SOCIOLOGIA DEI DIRITTI FONDAMENTALI;A5810138 - SOCIOLOGIA DEI DIRITTI FONDAMENTALI;0.937;0.845;0.9094;5;69
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810116;COMPARATIVE CIVIL PROCEDURE;A5810116 - COMPARATIVE CIVIL PROCEDURE;0.988;0.7;0.9016;6;68
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810076;DIRITTO ECCLESIASTICO COMPARATO;A5810076 - DIRITTO ECCLESIASTICO COMPARATO;0.907;0.868;0.8953;7;67
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810165;INTERNATIONAL PEACEKEEPING AND UNITED NATIONS LAW;A5810165 - INTERNATIONAL PEACEKEEPING AND UNITED NATIONS LAW;0.926;0.818;0.8936;8;66
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810063;DIRITTO PENITENZIARIO;A5810063 - DIRITTO PENITENZIARIO;0.894;0.889;0.8925;9;65
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810052;DIRITTO DELL'ARBITRATO INTERNO E INTERNAZIONALE;A5810052 - DIRITTO DELL'ARBITRATO INTERNO E INTERNAZIONALE;0.906;0.861;0.8925;10;64
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810050;DIRITTO DEI MERCATI FINANZIARI;A5810050 - DIRITTO DEI MERCATI FINANZIARI;0.901;0.844;0.8839;11;63
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810080;DIRITTO COMPARATO DELLE OBBLIGAZIONI E DEI CONTRATTI;A5810080 - DIRITTO COMPARATO DELLE OBBLIGAZIONI E DEI CONTRATTI;0.923;0.778;0.8795;12;62
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810060;DIRITTO PENALE (PARTE SPECIALE);A5810060 - DIRITTO PENALE (PARTE SPECIALE);0.863;0.886;0.8699;13;61
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810044;DIRITTO REGIONALE;A5810044 - DIRITTO REGIONALE;0.84;0.929;0.8667;14;60
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810089;PROCEDURA PENALE SOVRANAZIONALE;A5810089 - PROCEDURA PENALE SOVRANAZIONALE;0.935;0.7;0.8645;15;59
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810215;PLURALISMO RELIGIOSO E INTEGRAZIONE EUROPEA;A5810215 - PLURALISMO RELIGIOSO E INTEGRAZIONE EUROPEA;0.917;0.727;0.86;16;58
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810036;DIRITTO ROMANO;A5810036 - DIRITTO ROMANO;0.867;0.831;0.8562;17;57
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810109;DIRITTO PENALE DELL'INFORMATICA;A5810109 - DIRITTO PENALE DELL'INFORMATICA;0.84;0.884;0.8532;18;56
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810055;DIRITTO DI FAMIGLIA;A5810055 - DIRITTO DI FAMIGLIA;0.849;0.851;0.8496;19;55
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810058;DIRITTO INTERNAZIONALE DEI CONFLITTI ARMATI;A5810058 - DIRITTO INTERNAZIONALE DEI CONFLITTI ARMATI;0.88;0.756;0.8428;20;54
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810131;DIRITTO PARLAMENTARE;A5810131 - DIRITTO PARLAMENTARE;0.872;0.774;0.8426;21;53
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810061;DIRITTO PENALE COMMERCIALE;A5810061 - DIRITTO PENALE COMMERCIALE;0.851;0.821;0.842;22;52
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810062;DIRITTO PENALE MINORILE;A5810062 - DIRITTO PENALE MINORILE;0.882;0.739;0.8391;23;51
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810134;FONDAMENTI ROMANISTICI DEL DIRITTO PRIVATO EUROPEO;A5810134 - FONDAMENTI ROMANISTICI DEL DIRITTO PRIVATO EUROPEO;0.913;0.652;0.8347;24;50
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810077;DIRITTO DELLE ASSICURAZIONI;A5810077 - DIRITTO DELLE ASSICURAZIONI;0.873;0.704;0.8223;25;49
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810032;SOCIOLOGIA DEL DIRITTO;A5810032 - SOCIOLOGIA DEL DIRITTO;0.843;0.773;0.822;26;48
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810030;DIRITTO ECCLESIASTICO;A5810030 - DIRITTO ECCLESIASTICO;0.818;0.831;0.8219;27;47
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810071;ORGANIZZAZIONE INTERNAZIONALE;A5810071 - ORGANIZZAZIONE INTERNAZIONALE;0.808;0.833;0.8155;28;46
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810125;DIRITTO CIVILE (ILLECITO);A5810125 - DIRITTO CIVILE (ILLECITO);0.83;0.781;0.8153;29;45
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810049;DIRITTO BANCARIO;A5810049 - DIRITTO BANCARIO;0.862;0.703;0.8143;30;44
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810067;DIRITTO URBANISTICO;A5810067 - DIRITTO URBANISTICO;0.833;0.75;0.8081;31;43
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810107;DIRITTO PENALE DELL'AMBIENTE;A5810107 - DIRITTO PENALE DELL'AMBIENTE;0.796;0.833;0.8071;32;42
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810132;DIRITTO PRIVATO COMPARATO;A5810132 - DIRITTO PRIVATO COMPARATO;0.854;0.688;0.8042;33;41
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810029;DIRITTO CANONICO;A5810029 - DIRITTO CANONICO;0.79;0.807;0.7951;34;40
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810106;BIOETICA;A5810106 - BIOETICA;0.818;0.735;0.7931;35;39
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810093;ORDINAMENTO GIUDIZIARIO;A5810093 - ORDINAMENTO GIUDIZIARIO;0.875;0.578;0.7859;36;38
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810122;MEDIAZIONE REO-VITTIMA E MEDIAZIONE SOCIALE;A5810122 - MEDIAZIONE REO-VITTIMA E MEDIAZIONE SOCIALE;0.772;0.789;0.7771;37;37
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810039;STORIA DEL DIRITTO DI FAMIGLIA;A5810039 - STORIA DEL DIRITTO DI FAMIGLIA;0.804;0.705;0.7743;38;36
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810054;DIRITTO DELLE SUCCESSIONI;A5810054 - DIRITTO DELLE SUCCESSIONI;0.754;0.8;0.7678;39;35
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810129;DIRITTO DELLA NAVIGAZIONE;A5810129 - DIRITTO DELLA NAVIGAZIONE;0.75;0.789;0.7617;40;34
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810053;DIRITTO DELL'ESECUZIONE CIVILE;A5810053 - DIRITTO DELL'ESECUZIONE CIVILE;0.8;0.667;0.7601;41;33
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810133;DIRITTO PUBBLICO COMPARATO;A5810133 - DIRITTO PUBBLICO COMPARATO;0.801;0.651;0.756;42;32
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810010;DIRITTO AMMINISTRATIVO;A5810010 - DIRITTO AMMINISTRATIVO;0.777;0.707;0.756;43;31
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810072;POLITICA ECONOMICA;A5810072 - POLITICA ECONOMICA;0.737;0.792;0.7535;44;30
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810046;CRIMINOLOGIA;A5810046 - CRIMINOLOGIA;0.822;0.575;0.7479;45;29
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810051;DIRITTO DEL LAVORO C.P.;A5810051 - DIRITTO DEL LAVORO C.P.;0.743;0.75;0.7451;46;28
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810082;GIUSTIZIA COSTITUZIONALE;A5810082 - GIUSTIZIA COSTITUZIONALE;0.79;0.627;0.7411;47;27
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810047;DIRITTO AMBIENTALE;A5810047 - DIRITTO AMBIENTALE;0.677;0.889;0.7406;48;26
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810056;DIRITTO FALLIMENTARE;A5810056 - DIRITTO FALLIMENTARE;0.8;0.593;0.7379;49;25
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810135;STORIA DEL DIRITTO DELLE OBBLIGAZIONI E DEI CONTRATTI;A5810135 - STORIA DEL DIRITTO DELLE OBBLIGAZIONI E DEI CONTRATTI;0.82;0.533;0.7339;50;24
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810043;DIRITTO DELL'INFORMAZIONE E DELLA COMUNICAZIONE;A5810043 - DIRITTO DELL'INFORMAZIONE E DELLA COMUNICAZIONE;0.756;0.658;0.7266;51;23
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810128;DIRITTO DEL LAVORO;A5810128 - DIRITTO DEL LAVORO;0.734;0.709;0.7265;52;22
