cdscod;cds;cdscod_cds;adcod;ad;adcod_ad;n_studenti;trial_error;rank_trial_error
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810070;MEDICINA LEGALE;A5810070 - MEDICINA LEGALE;40;0.638;1
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810017;DIRITTO PROCESSUALE CIVILE;A5810017 - DIRITTO PROCESSUALE CIVILE;203;0.567;2
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810130;DIRITTO DELL'UNIONE EUROPEA;A5810130 - DIRITTO DELL'UNIONE EUROPEA;158;0.506;3
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810015;DIRITTO PENALE;A5810015 - DIRITTO PENALE;235;0.502;4
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810137;TUTELA INTERNAZIONALE DEI DIRITTI UMANI;A5810137 - TUTELA INTERNAZIONALE DEI DIRITTI UMANI;16;0.5;5
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810064;DIRITTO PROCESSUALE CIVILE C.P.;A5810064 - DIRITTO PROCESSUALE CIVILE C.P.;3;0.5;5
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810057;DIRITTO INDUSTRIALE;A5810057 - DIRITTO INDUSTRIALE;15;0.5;5
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810018;PROCEDURA PENALE;A5810018 - PROCEDURA PENALE;152;0.497;6
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810135;STORIA DEL DIRITTO DELLE OBBLIGAZIONI E DEI CONTRATTI;A5810135 - STORIA DEL DIRITTO DELLE OBBLIGAZIONI E DEI CONTRATTI;41;0.488;7
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810006;FILOSOFIA DEL DIRITTO;A5810006 - FILOSOFIA DEL DIRITTO;206;0.468;8
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810031;INFORMATICA GIURIDICA;A5810031 - INFORMATICA GIURIDICA;44;0.466;9
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810003;SCIENZA DELLE FINANZE;A5810003 - SCIENZA DELLE FINANZE;366;0.443;10
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810228;STORIA DEL DIRITTO MEDIEVALE E MODERNO;A5810228 - STORIA DEL DIRITTO MEDIEVALE E MODERNO;293;0.435;11
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810011;GIUSTIZIA AMMINISTRATIVA;A5810011 - GIUSTIZIA AMMINISTRATIVA;126;0.429;12
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810019;ISTITUZIONI DI DIRITTO PRIVATO;A5810019 - ISTITUZIONI DI DIRITTO PRIVATO;332;0.423;13
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810229;ISTITUZIONI DI DIRITTO ROMANO;A5810229 - ISTITUZIONI DI DIRITTO ROMANO;291;0.421;14
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810012;DIRITTO TRIBUTARIO;A5810012 - DIRITTO TRIBUTARIO;164;0.421;14
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810007;DIRITTO INTERNAZIONALE;A5810007 - DIRITTO INTERNAZIONALE;229;0.404;15
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810081;ECONOMIA AZIENDALE;A5810081 - ECONOMIA AZIENDALE;5;0.4;16
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810056;DIRITTO FALLIMENTARE;A5810056 - DIRITTO FALLIMENTARE;41;0.39;17
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810014;DIRITTO COMMERCIALE;A5810014 - DIRITTO COMMERCIALE;216;0.387;18
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810046;CRIMINOLOGIA;A5810046 - CRIMINOLOGIA;66;0.371;19
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;A5810227;DIRITTO COSTITUZIONALE;A5810227 - DIRITTO COSTITUZIONALE;350;0.366;20
