cdscod;cds;cdscod_cds;trial_error;rank_trial_error
581;GIURISPRUDENZA;581 - GIURISPRUDENZA;0.326;25
E0201Q;BIOTECNOLOGIE;E0201Q - BIOTECNOLOGIE;0.309;26
E1301Q;SCIENZE BIOLOGICHE;E1301Q - SCIENZE BIOLOGICHE;0.416;12
E1401A;SCIENZE DEI SERVIZI GIURIDICI;E1401A - SCIENZE DEI SERVIZI GIURIDICI;0.397;14
E1501N;SCIENZE DEL TURISMO E COMUNITÀ LOCALE;E1501N - SCIENZE DEL TURISMO E COMUNITÀ LOCALE;0.265;38
E1601N;SCIENZE DELL'ORGANIZZAZIONE;E1601N - SCIENZE DELL'ORGANIZZAZIONE;0.334;23
E1801M;MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI;E1801M - MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI;0.309;26
E1802M;ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE;E1802M - ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE;0.373;18
E1803M;ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI;E1803M - ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI;0.501;8
E1901R;SCIENZE DELL'EDUCAZIONE;E1901R - SCIENZE DELL'EDUCAZIONE;0.194;48
E2001R;COMUNICAZIONE INTERCULTURALE;E2001R - COMUNICAZIONE INTERCULTURALE;0.271;35
E2004P;SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE;E2004P - SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE;0.34;22
E2401P;SCIENZE E TECNICHE PSICOLOGICHE;E2401P - SCIENZE E TECNICHE PSICOLOGICHE;0.301;28
E2701Q;SCIENZA DEI MATERIALI;E2701Q - SCIENZA DEI MATERIALI;0.583;7
E2702Q;SCIENZE E TECNOLOGIE CHIMICHE;E2702Q - SCIENZE E TECNOLOGIE CHIMICHE;0.414;13
E3001Q;FISICA;E3001Q - FISICA;0.379;17
E3002Q;OTTICA E OPTOMETRIA;E3002Q - OTTICA E OPTOMETRIA;0.808;1
E3101Q;INFORMATICA;E3101Q - INFORMATICA;0.299;29
E3201Q;SCIENZE E TECNOLOGIE PER L'AMBIENTE;E3201Q - SCIENZE E TECNOLOGIE PER L'AMBIENTE;0.394;15
E3301M;ECONOMIA E COMMERCIO;E3301M - ECONOMIA E COMMERCIO;0.417;11
E3401Q;SCIENZE E TECNOLOGIE GEOLOGICHE;E3401Q - SCIENZE E TECNOLOGIE GEOLOGICHE;0.475;9
E3501Q;MATEMATICA;E3501Q - MATEMATICA;0.37;19
E3901N;SERVIZIO SOCIALE;E3901N - SERVIZIO SOCIALE;0.216;46
E4001N;SOCIOLOGIA;E4001N - SOCIOLOGIA;0.289;31
E4101B;SCIENZE STATISTICHE ED ECONOMICHE;E4101B - SCIENZE STATISTICHE ED ECONOMICHE;0.673;4
E4102B;STATISTICA E GESTIONE DELLE INFORMAZIONI;E4102B - STATISTICA E GESTIONE DELLE INFORMAZIONI;0.785;2
F0101R;SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE;F0101R - SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE;0.152;58
F0601Q;BIOLOGIA;F0601Q - BIOLOGIA;0.332;24
F0802Q;BIOTECNOLOGIE INDUSTRIALI;F0802Q - BIOTECNOLOGIE INDUSTRIALI;0.332;24
F0901D;BIOTECNOLOGIE MEDICHE;F0901D - BIOTECNOLOGIE MEDICHE;0.307;27
F1601M;ECONOMIA E FINANZA;F1601M - ECONOMIA E FINANZA;0.249;41
F1701Q;FISICA;F1701Q - FISICA;0.1;60
F1801Q;INFORMATICA;F1801Q - INFORMATICA;0.174;55
F4001Q;MATEMATICA;F4001Q - MATEMATICA;0.253;39
F4901N;TURISMO, TERRITORIO E SVILUPPO LOCALE;F4901N - TURISMO, TERRITORIO E SVILUPPO LOCALE;0.169;56
F5101P;PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA;F5101P - PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA;0.205;47
F5102P;PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI;F5102P - PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI;0.278;34
F5103P;PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI;F5103P - PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI;0.252;40
F5104P;PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA;F5104P - PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA;0.334;23
F5301Q;SCIENZA DEI MATERIALI;F5301Q - SCIENZA DEI MATERIALI;0.238;43
F5401Q;SCIENZE E TECNOLOGIE CHIMICHE;F5401Q - SCIENZE E TECNOLOGIE CHIMICHE;0.177;54
F5602M;INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE;F5602M - INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE;0.177;54
F5701R;FORMAZIONE E SVILUPPO DELLE RISORSE UMANE;F5701R - FORMAZIONE E SVILUPPO DELLE RISORSE UMANE;0.187;50
F5801Q;ASTROFISICA E FISICA DELLO SPAZIO;F5801Q - ASTROFISICA E FISICA DELLO SPAZIO;0.075;61
F6302N;MANAGEMENT E DESIGN DEI SERVIZI;F6302N - MANAGEMENT E DESIGN DEI SERVIZI;0.101;59
F7401Q;SCIENZE E TECNOLOGIE GEOLOGICHE;F7401Q - SCIENZE E TECNOLOGIE GEOLOGICHE;0.168;57
F7501Q;SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO;F7501Q - SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO;0.181;53
F7502Q;MARINE SCIENCES - SCIENZE MARINE;F7502Q - MARINE SCIENCES - SCIENZE MARINE;0.182;52
F7601M;ECONOMIA DEL TURISMO;F7601M - ECONOMIA DEL TURISMO;0.393;16
F7701M;SCIENZE ECONOMICO-AZIENDALI;F7701M - SCIENZE ECONOMICO-AZIENDALI;0.268;37
F7702M;MARKETING E MERCATI GLOBALI;F7702M - MARKETING E MERCATI GLOBALI;0.357;20
F8203B;BIOSTATISTICA;F8203B - BIOSTATISTICA;0.23;45
F8204B;SCIENZE STATISTICHE ED ECONOMICHE;F8204B - SCIENZE STATISTICHE ED ECONOMICHE;0.296;30
F8501R;SCIENZE PEDAGOGICHE;F8501R - SCIENZE PEDAGOGICHE;0.186;51
F8701N;PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI;F8701N - PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI;0.069;62
F8801N;SOCIOLOGIA;F8801N - SOCIOLOGIA;0.065;63
F9201P;TEORIA E TECNOLOGIA DELLA COMUNICAZIONE;F9201P - TEORIA E TECNOLOGIA DELLA COMUNICAZIONE;0.334;23
G8501R;SCIENZE DELLA FORMAZIONE PRIMARIA;G8501R - SCIENZE DELLA FORMAZIONE PRIMARIA;0.28;33
H4101D;MEDICINA E CHIRURGIA;H4101D - MEDICINA E CHIRURGIA;0.436;10
H4601D;ODONTOIATRIA E PROTESI DENTARIA;H4601D - ODONTOIATRIA E PROTESI DENTARIA;0.241;42
I0101D;INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE);I0101D - INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE);0.588;6
I0102D;OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O);I0102D - OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O);0.282;32
