cdscod;trial_error;rank_trial_error
E3002Q;0.716;1
I0302D;0.709;2
I0301D;0.588;3
I0101D;0.588;3
E4101B;0.51;4
E4102B;0.468;5
E2701Q;0.457;6
E3401Q;0.442;7
H4101D;0.42;8
E1803M;0.403;9
F7601M;0.383;10
E1601N;0.362;11
E1301Q;0.359;12
E3501Q;0.358;13
E1401A;0.358;13
F7702M;0.35;14
E3201Q;0.338;15
I0303D;0.336;16
F0901D;0.335;17
E2004P;0.328;18
E3001Q;0.326;19
E1802M;0.324;20
E2702Q;0.323;21
E0201Q;0.318;22
F5104P;0.314;23
E2001R;0.308;24
F0802Q;0.307;25
F8204B;0.305;26
E4001N;0.305;26
F9201P;0.301;27
G8501R;0.287;28
I0102D;0.286;29
E1501N;0.284;30
E3301M;0.282;31
E3101Q;0.282;31
F5103P;0.274;32
F1601M;0.269;33
E1801M;0.264;34
I0201D;0.261;35
F0601Q;0.257;36
F4001Q;0.254;37
F5102P;0.253;38
E2401P;0.243;39
581;0.24;40
F7701M;0.235;41
F5301Q;0.224;42
H4601D;0.222;43
F8203B;0.218;44
E1901R;0.214;45
I0202D;0.209;46
F7502Q;0.196;47
K0101D;0.186;48
E3901N;0.184;49
F5701R;0.172;50
F7501Q;0.171;51
F5602M;0.161;52
F5401Q;0.159;53
F8501R;0.158;54
F1801Q;0.154;55
F7401Q;0.148;56
F5101P;0.147;57
F4901N;0.133;58
F6302N;0.128;59
F0101R;0.115;60
F1701Q;0.102;61
F8701N;0.085;62
F8801N;0.066;63
F5801Q;0.044;64
